PlayerPosition,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,game_date,pos,opp_team,rolling_mins,min,pts,ast,reb,fg3m,usage_percentage,rolling_pts,rolling_usg,rolling_ast,rolling_reb,rolling_fg3m,rolling_dfs,dfs_points,rolling_max_pts,rolling_min_pts,rolling_max_ast,rolling_min_ast,rolling_max_dfs,rolling_min_dfs,rolling_max_reb,rolling_min_reb,rolling_max_fg3m,rolling_min_fg3m,rolling_sd_dfs,rolling_sd_pts,rolling_sd_ast,rolling_sd_reb,rolling_sd_fg3m,current_pts,current_usg,current_ast,current_reb,current_3s,current_dfs,Opponent,opp_rolling_dfs,opp_rolling_mins,opp_rolling_pts,opp_rolling_ast,opp_rolling_reb,opp_rolling_fg3m,pts_line,est_dfs,est_pts,est_ast,est_reb,est_fg3m
PF,Al Horford (32422414),Al Horford,32422414,PF/C/F/UTIL,6100,BOS@DAL 01/22/2024 08:30PM ET,BOS,24.06,2024-01-19,PF,DEN,26.5,27,6,2,10,2,0.0932503753230874,8,0.09716799924736917,1.25,7,2,21,22.5,10,6,5,0,29.25,16,11,3,3,1,6.157820231218186,1.6431676725154984,1.8708286933869707,3.5637059362410923,0.8366600265340756,8.75,0.10175287661160383,2,6.5,2.25,22.25,DAL,-0.12652708906202972,-0.04765732840298063,0.0480476316788995,0.39323567367187484,0.4488316496415303,-1.2310211631455925,8.5,21.838472616758565,6.212250234560146,2.769574618041563,7.0691832871556235,0.987168402824886
SG,Alec Burks (32422471),Alec Burks,32422471,SG/SF/F/G/UTIL,5400,MIL@DET 01/22/2024 07:00PM ET,DET,20.14,2024-01-20,PG,MIL,26.5,29,33,6,7,7,0.33259650202352486,24.5,0.2824296892483983,2.5,2.5,5.25,36.125,56.25,34,12,6,1,56.25,19.25,7,0,8,1,16.084736553639914,10.261578825892242,2.073644135332772,2.701851217221259,3.2863353450309964,20,0.2890504429860805,1.5,1.25,3.75,27.1875,MIL,1.5637588383888936,0.6799524277992702,1.8256212856487473,0.8339454485387787,1.3105601115037915,2.219050444762554,16.5,54.328547337877374,26.212112902573395,5.994428102166803,7.092239679746241,4.833166361428841
PG,Alex Caruso (32422498),Alex Caruso,32422498,PG/SG/G/UTIL,5200,CHI@PHX 01/22/2024 09:00PM ET,CHI,22.81,2024-01-20,PG,MEM,28.75,25,8,1,3,2,0.10355987055016182,9.75,0.11737721060958275,3.5,3.75,2.25,28.3125,20.25,11,6,6,1,38.5,14.5,6,2,3,2,9.023233899218175,2,1.9235384061671346,1.5165750888103102,0.44721359549995787,9.25,0.11401681303274697,3.75,3.5,2.25,26.875,PHX,1.4630412067543102,1.5407474280831306,1.8611217332476064,0.781273876380054,0.12776741757329982,0.7971779499286831,9.5,25.935861405480384,8.048017221206155,2.810952511269535,4.745911253477609,2.6613809322556685
C,Andre Drummond (32422549),Andre Drummond,32422549,C/UTIL,4800,CHI@PHX 01/22/2024 09:00PM ET,CHI,22.35,2024-01-20,C,MEM,16.25,18,15,1,10,0,0.284789644012945,8.75,0.20832217684947207,0.75,8.5,0,25.625,37,15,5,1,0,37,11.5,10,4,0,0,10.70397122567134,4.123105625617661,0.44721359549995793,3.286335345030997,0,6.25,0.16325906711665325,0.75,7,0,19.75,PHX,-0.23783404873593814,-1.0012505958376903,-0.8396678813215623,0.10803774115519695,0.5446772442068947,-0.6030115813272304,6.5,27.108206593306683,13.25263452244489,0.1931956675842033,6.419187342259583,0.11561065665862423
PG,Andre Jackson Jr. (32422681),Andre Jackson Jr.,32422681,PG/SF/F/G/UTIL,3700,MIL@DET 01/22/2024 07:00PM ET,MIL,7.66,2024-01-20,NA,NA,18.75,15,2,0,7,0,0.027339281628917866,4.5,0.08839887754556693,0.75,6.25,0,13.4375,10.75,10,0,4,0,27,0.5,10,0,0,0,9.585796784827018,4.335896677735761,1.6733200530681511,3.8987177379235853,0,4,0.09643509255731808,1.75,5.5,0,13.5,DET,1.4035224506148434,0.8269040215113943,1.1220972213152982,1.8165953271039124,-0.32715532527419644,0.8029643855681358,NA,14.893211421852229,5.379742906938367,2.232282428204492,3.25337536125099,0.3566980881213422
PG,Anthony Edwards (32422289),Anthony Edwards,32422289,PG/SG/G/UTIL,8400,CHA@MIN 01/22/2024 08:00PM ET,MIN,43.40,2024-01-20,SG,OKC,35.75,38,19,5,5,1,0.23570276265376083,26.75,0.32052286823560866,6,6,1.75,43.625,30.75,33,9,8,5,55.75,25.75,9,3,3,0,11.956169955299229,9.391485505499118,1.224744871391589,2.1908902300206643,1.140175425099138,24.25,0.30302210003157365,6.25,5.5,1.5,42.375,CHA,-0.32929212958309506,0.5835483147255733,-0.7725957238172803,0.18730459787711534,-0.11826222906871262,-0.5568479897033874,27.5,38.30041470682622,16.23003851350428,6.543218880717374,6.20254587391302,1.1760976380002968
SF,Ausar Thompson (32422568),Ausar Thompson,32422568,SF/PF/F/UTIL,4600,MIL@DET 01/22/2024 07:00PM ET,DET,23.27,2024-01-20,SF,MIL,24.5,32,22,1,9,2,0.205044612216884,11.75,0.15343241046666756,1,8.5,0.5,26.375,37.25,22,3,2,0,37.25,13.5,9,6,2,0,10.9763951277275,7.968688725254614,0.7071067811865476,1.224744871391589,0.894427190999916,7,0.15585091109210025,1,7.75,0,20.4375,MIL,0.362514487570466,0.24104163064193576,0.9691602059389343,0.32635389151282584,-0.35504624626580256,1.2805147277900564,NA,31.21442125177918,19.081905190673226,1.082581149193494,6.387860897707062,2.3353775129765504
PG,Ayo Dosunmu (32422553),Ayo Dosunmu,32422553,PG/SG/G/UTIL,4700,CHI@PHX 01/22/2024 09:00PM ET,CHI,17.19,2024-01-20,PG,MEM,26.75,27,20,4,6,3,0.22885452874665388,15.25,0.18418738301285698,4,3,1.75,27.25,37.5,21,6,5,0,37.5,5.5,6,0,3,0,12.455671399005354,6.6932802122726045,1.9235384061671348,2.302172886644268,1.3038404810405297,11.75,0.17461440418372526,3,1.5,1.5,19.25,PHX,1.4630412067543102,1.5407474280831306,1.8611217332476064,0.781273876380054,0.12776741757329982,0.7971779499286831,10.5,28.09791200393156,15.667464481800698,1.648086306961559,5.088324985820926,1.370850078888208
PF,Bobby Portis (32422410),Bobby Portis,32422410,PF/C/F/UTIL,6100,MIL@DET 01/22/2024 07:00PM ET,MIL,25.04,2024-01-20,PF,DET,20.75,16,4,0,3,0,0.102522306108442,13,0.2197848112040954,1,6.75,1.25,23.5625,7.75,28,4,3,0,49,7.75,12,3,5,0,15.59807680452946,9.486832980505138,1.3038404810405297,3.492849839314596,1.8708286933869707,19,0.29442750207353996,1,9,2.5,33.875,DET,0.493889244342613,-0.10867525244304367,-0.01334824272571615,0.9171341128223547,0.29571936510542546,-0.637512028017204,10.5,22.93001771421341,10.983651486958475,2.339397830883399,4.547243519047272,1.6128833650617513
SF,Bojan Bogdanovic (32422396),Bojan Bogdanovic,32422396,SF/F/UTIL,6300,MIL@DET 01/22/2024 07:00PM ET,DET,30.96,2024-01-20,PF,MIL,32,32,19,2,1,3,0.2501544269045985,21,0.23133363467379275,2.25,3.25,3.25,31.4375,24.25,26,14,3,1,41.75,22.25,5,1,4,2,8.069231685854607,4.277849927241487,0.7071067811865476,2.0493901531919194,0.7071067811865476,19.75,0.23111359414731497,2,3.25,3,30.9375,MIL,0.362514487570466,0.24104163064193576,0.9691602059389343,0.32635389151282584,-0.35504624626580256,1.2805147277900564,19.5,34.30694291062694,19.59976092224612,2.223545982314287,2.8396397776968563,2.8964519026650413
