game_date,player_name,player_id,rolling_mins,min,pos,pts,ast,reb,fg3m,ftr,reb_rate,ast_rate,fg3_rate,usage_percentage,rolling_pts,rolling_usg,rolling_ast,rolling_reb,rolling_fg3m,rolling_dfs,fan_pts,rolling_max_pts,rolling_min_pts,rolling_max_ast,rolling_min_ast,rolling_max_dfs,rolling_min_dfs,rolling_max_reb,rolling_min_reb,rolling_max_fg3m,rolling_min_fg3m,rolling_sd_dfs,rolling_sd_pts,rolling_sd_ast,rolling_sd_reb,rolling_sd_fg3m,rolling_fg3_rate,rolling_max_fg3_rate,rolling_min_fg3_rate,current_pts,current_usg,current_ast,current_reb,current_3s,current_dfs,current_mins,current_fg3_rate,prev_game_date,ppm,days_rest
2024-10-28,AJ Green,1631260,7.25,2,Guard,3,0,1,1,0,29.7530864197531,0,1,0.431744894303117,4.25,0.200267171079556,0.75,0.5,1.25,8.25,6,9,0,3,0,18,4,1,0,3,0,5.68330889535313,3.3166247903554,1.09544511501033,0.547722557505166,1.09544511501033,,,,4.25,0.126988988169211,1.5,0.5,1.25,9,10.75,,2024-10-27,0.395348837209302,0
2024-10-28,Aaron Gordon,203932,33,42,Forward,16,8,11,2,1,13.0952380952381,4.39014288672603,0.25,0.166506922257721,10.75,0.175223708464164,4.25,7.25,0.75,30.5,53,16,5,8,2,53,15,11,4,2,0,14.2548237449644,3.96232255123179,2.50998007960223,3.03315017762062,0.894427190999916,,,,9.5,0.205614071916828,3.5,5.75,0.25,24,28,,2024-10-26,0.339285714285714,1
2024-10-28,Aaron Nesmith,1630174,23.25,30,Guard-Forward,10,1,4,0,0.666666666666667,7.14074074074074,0.80261098344823,0.111111111111111,0.165208480565371,7.75,0.143742389850586,0.5,3.75,0.5,17.5,18,10,4,1,0,26,4,7,1,1,0,9.83361581515162,3,0.547722557505166,2.38746727726266,0.547722557505166,,,,6.25,0.143603996109738,0.25,3,0.5,14,20.75,,2024-10-27,0.301204819277108,0
2024-10-28,Al Horford,201143,26,27,Center-Forward,10,1,5,2,0,11.0653863740284,0.862529849948319,0.4,0.083485124468731,9.5,0.107459675031243,2,4.5,2.5,30.25,33,17,0,5,1,45,4,5,2,5,0,18.7749833555186,6.96419413859206,1.78885438199983,1.4142135623731,2.12132034355964,,,,7.5,0.114846110595965,2,3.75,2,23,25,,2024-10-26,0.3,1
2024-10-28,Alec Burks,202692,16,8,Guard,0,2,1,0,0,6.14795918367347,6.3421052631579,0,0.0569470699432892,5.25,0.107669619707049,1,2.25,1.25,13.75,5,9,0,3,0,31,5,5,0,3,0,11.3225438837745,4.08656334834051,1.34164078649987,1.92353840616713,1.14017542509914,,,,7.25,0.114600099607986,1.25,2,1.75,20.25,17.75,,2024-10-26,0.408450704225352,1
2024-10-28,Alex Len,203458,8.5,7,Center,0,4,1,0,0,7.9734219269103,14.8262548262548,0,0.0646900269541779,1,0.174574110908681,1.25,3.5,0,9.25,12,3,0,4,0,14,3,9,1,1,0,4.27784992724149,1.51657508881031,1.67332005306815,3.27108544675923,0.447213595499958,,,,1.75,0.172071594520731,0.75,3.75,0.25,9,10.25,,2024-10-26,0.170731707317073,1
2024-10-28,Alperen Sengun,1630578,28,26,Center,12,5,12,1,0.142857142857143,24.180602006689,5.59294499883964,0.0714285714285714,0.290934576765741,14.75,0.259818018582255,3.5,12.5,1,46.25,44,25,6,5,2,79,20,18,5,2,0,21.3705404704701,7.44983221287567,1.6431676725155,4.94974746830583,0.836660026534076,,,,17,0.262848768831587,2.75,12,0.75,45,27.75,,2024-10-26,0.612612612612613,1
2024-10-28,Amen Thompson,1641708,20.5,18,Guard-Forward,7,0,3,1,0.4,8.73188405797101,0,0.2,0.221073509359117,7.5,0.197849682054989,1.25,4.25,0.5,13.25,13,18,1,3,0,42,7,6,3,1,0,13.9821314541096,6.38748776906853,1.34164078649987,1.34164078649987,0.547722557505166,,,,10.25,0.210880444357831,1.75,5,0.5,20.5,21,,2024-10-26,0.488095238095238,1
2024-10-28,Andre Jackson Jr.,1641748,6.25,8,Guard,4,2,3,0,0,22.3148148148148,6.96733159872796,0.333333333333333,0.215872447151559,1,0.0795617418177489,0.75,1.25,0,6.75,13,4,0,2,0,13,0,3,0,1,0,4.81663783151692,1.94935886896179,0.894427190999916,1.51657508881031,0.447213595499958,,,,0.75,0.112942852947976,0.25,1.25,0.25,4.5,5.75,,2024-10-27,0.130434782608696,0
2024-10-28,Andrew Nembhard,1629614,29.75,33,Guard-Forward,13,7,3,0,0.166666666666667,4.86868686868687,5.21016708360357,0.0833333333333333,0.191994860263412,8.25,0.165093407109151,6,2.25,0.25,21.5,31,13,2,8,2,31,9,3,2,1,0,7.92464510246358,4.02492235949962,2.70185121722126,0.547722557505166,0.447213595499958,,,,7,0.151815400398499,5,2.25,0.25,19,27.25,,2024-10-27,0.256880733944954,0
2024-10-28,Anfernee Simons,1629014,32.75,31,Guard,12,3,1,1,0.333333333333333,1.80045011252813,2.75176762851137,0.583333333333333,0.242927162886128,19.5,0.264765793616406,4.75,1.5,2.5,25.75,8,27,11,7,2,49,8,2,1,5,1,15.7860698085369,7.25947656515262,2.16794833886788,0.547722557505166,1.6431676725155,,,,19.25,0.259178070691484,4.5,1.75,2.5,27.75,30,,2024-10-27,0.641666666666667,0
2024-10-28,Anthony Black,1641710,25.75,30,Guard,8,3,3,2,0.333333333333333,5.35555555555556,2.51320912124583,0.5,0.138370525337053,9.5,0.16911823322533,3.75,3.25,1,24.5,23,10,8,8,3,30,17,6,1,2,0,5.06951674225463,1.09544511501033,2.07364413533277,1.87082869338697,0.836660026534076,,,,9.5,0.191410820161757,5,3,1,24.5,22.5,,2024-10-26,0.422222222222222,1
2024-10-28,Anthony Davis,203076,36.5,35,Forward-Center,29,3,15,0,0.25,22.2670807453416,2.29388616949803,0.0833333333333333,0.358481858205556,32.75,0.320514837709156,3.25,12,0.5,71.75,70,36,29,4,2,84,66,16,8,4,0,7.41619848709566,3.03315017762062,0.894427190999916,3.64691650576209,1.6431676725155,,,,34.25,0.33162469451846,3.5,10.75,1.5,71.25,36,,2024-10-26,0.951388888888889,1
2024-10-28,Austin Reaves,1630559,35.5,37,Guard,23,3,8,5,0.2,11.2338425381904,2.09876181834148,0.6,0.198154158409206,19.25,0.205631691044824,5.25,7,3,47.75,54,26,12,8,2,62,34,9,4,5,0,11.5974135047432,5.56776436283002,2.40831891575846,1.92353840616713,2.30217288664427,,,,18,0.227404229200591,5,7,2,44,31.5,,2024-10-26,0.571428571428571,1
2024-10-28,Ayo Dosunmu,1630245,25.5,27,Guard,10,4,8,2,0,12.983164983165,3.27768521981572,0.5,0.122608872608873,5.75,0.149918867906342,4.5,5.5,0.75,22.25,39,19,2,6,3,40,13,8,3,5,0,12.7553910171347,6.8044103344816,1.30384048104053,1.87082869338697,2.07364413533277,,,,8,0.158939034456036,4.25,4.25,1.5,22.5,25.75,,2024-10-26,0.310679611650485,1
2024-10-28,Bam Adebayo,1628389,28.5,34,Center-Forward,12,4,10,0,0.444444444444444,14.4657863145258,3.10017687731147,0.222222222222222,0.157575892360725,10,0.185188391971194,2.75,8.25,0.25,34.75,55,20,7,4,1,55,15,11,3,2,0,15.2151240547029,4.94974746830583,1.14017542509914,3.3466401061363,0.894427190999916,,,,12,0.212859913052806,2.25,6.5,0.75,32.5,25.75,,2024-10-26,0.466019417475728,1
2024-10-28,Ben Sheppard,1641767,13.5,22,Guard,8,0,1,2,0,2.43434343434343,0,0.833333333333333,0.116125923546418,4.5,0.0923554344713969,0.5,1.25,1,10,12,14,0,2,0,27,4,2,0,2,0,9.07193474403338,5.17687164221791,0.894427190999916,0.836660026534076,1.09544511501033,,,,6,0.106986906231032,0.75,1.25,1,13.75,15,,2024-10-27,0.4,0
