player_name,pro_team,position,injured,injury_status,acquisition_type,percent_owned,projected_points,points_scored
Zion Williamson,NOP,PF,True,OUT,[],,3204.0,257.0
Jordan Poole,WAS,SG,False,ACTIVE,[],,2203.0,729.0
Cam Thomas,BKN,SG,True,OUT,[],,2756.0,598.0
Austin Reaves,LAL,SG,False,ACTIVE,[],,2757.0,664.0
Jrue Holiday,BOS,PG,False,ACTIVE,[],,2778.0,666.0
D'Angelo Russell,LAL,PG,False,ACTIVE,[],,2862.0,652.0
Keegan Murray,SAC,PF,False,ACTIVE,[],,2578.0,862.0
Jalen Suggs,ORL,PG,False,ACTIVE,[],,1925.0,881.0
Brook Lopez,MIL,C,False,ACTIVE,[],,2476.0,805.0
Jonas Valanciunas,WAS,C,False,ACTIVE,[],,3375.0,768.0
Buddy Hield,GSW,SG,False,ACTIVE,[],,2625.0,667.0
Jaden Ivey,DET,SG,False,ACTIVE,[],,2302.0,771.0
Collin Sexton,UTA,SG,False,ACTIVE,[],,2497.0,620.0
Jerami Grant,POR,PF,False,ACTIVE,[],,2252.0,685.0
Naz Reid,MIN,C,False,ACTIVE,[],,2528.0,704.0
Kyle Kuzma,WAS,PF,True,OUT,[],,3035.0,313.0
Immanuel Quickley,TOR,PG,True,OUT,[],,2903.0,75.0
Jabari Smith Jr.,HOU,PF,False,ACTIVE,[],,2711.0,742.0
Jonathan Kuminga,GSW,PF,False,ACTIVE,[],,2528.0,605.0
Khris Middleton,MIL,SF,False,ACTIVE,[],,2334.0,99.0
Terry Rozier,MIA,PG,False,ACTIVE,[],,2521.0,524.0
Jusuf Nurkic,PHO,C,False,ACTIVE,[],,2912.0,522.0
Deni Avdija,POR,SF,False,ACTIVE,[],,2675.0,760.0
Bennedict Mathurin,IND,SF,False,ACTIVE,[],,2061.0,850.0
Caris LeVert,CLE,SG,False,ACTIVE,[],,2303.0,577.0
Trey Murphy III,NOP,SF,False,ACTIVE,[],,2119.0,444.0
Bogdan Bogdanovic,ATL,SG,False,ACTIVE,[],,2502.0,281.0
Zach Edey,MEM,C,True,OUT,[],,2387.0,422.0
Mark Williams,CHA,C,False,ACTIVE,[],,2828.0,102.0
Malcolm Brogdon,WAS,PG,True,OUT,[],,2492.0,242.0
Donte DiVincenzo,MIN,SG,False,ACTIVE,[],,2484.0,530.0
Jared McCain,PHL,SG,True,OUT,[],,1182.0,577.0
Grayson Allen,PHO,SG,False,ACTIVE,[],,2351.0,446.0
Gradey Dick,TOR,SG,False,ACTIVE,[],,1538.0,590.0
Trayce Jackson-Davis,GSW,PF,False,ACTIVE,[],,2666.0,519.0
Jaime Jaquez Jr.,MIA,SF,False,ACTIVE,[],,2439.0,418.0
Rui Hachimura,LAL,PF,False,ACTIVE,[],,1961.0,626.0
Kelly Oubre Jr.,PHL,SF,False,ACTIVE,[],,2197.0,669.0
Mike Conley,MIN,PG,False,ACTIVE,[],,2220.0,513.0
Scotty Pippen Jr.,MEM,PG,False,ACTIVE,[],,1605.0,748.0
Onyeka Okongwu,ATL,C,False,ACTIVE,[],,2243.0,754.0
Shaedon Sharpe,POR,SG,False,ACTIVE,[],,2108.0,451.0
Stephon Castle,SAS,PG,False,DAY_TO_DAY,[],,2108.0,555.0
Dalton Knecht,LAL,SG,False,ACTIVE,[],,1579.0,560.0
Reed Sheppard,HOU,SG,False,ACTIVE,[],,2266.0,224.0
Bilal Coulibaly,WAS,SF,False,ACTIVE,[],,1739.0,697.0
Scoot Henderson,POR,PG,False,ACTIVE,[],,2125.0,412.0
Herbert Jones,NOP,SF,False,ACTIVE,[],,2082.0,207.0
Keyonte George,UTA,PG,False,ACTIVE,[],,1866.0,687.0
Ochai Agbaji,TOR,SF,False,ACTIVE,[],,1070.0,740.0
Luguentz Dort,OKC,SG,False,ACTIVE,[],,1860.0,676.0
Keldon Johnson,SAS,SF,True,OUT,[],,2310.0,629.0
Ausar Thompson,DET,SF,False,ACTIVE,[],,2452.0,87.0
Jordan Clarkson,UTA,SG,False,ACTIVE,[],,2027.0,395.0
Goga Bitadze,ORL,C,False,ACTIVE,[],,1352.0,737.0
Brandin Podziemski,GSW,SG,False,ACTIVE,[],,2484.0,550.0
Al Horford,BOS,C,True,OUT,[],,2036.0,552.0
Alex Caruso,OKC,SG,False,ACTIVE,[],,1874.0,349.0
T.J. McConnell,IND,PG,False,ACTIVE,[],,1937.0,691.0
Yves Missi,NOP,C,False,ACTIVE,[],,1535.0,783.0
Zaccharie Risacher,ATL,SF,False,ACTIVE,[],,1870.0,556.0
Donovan Clingan,POR,C,False,ACTIVE,[],,2187.0,460.0
