player_name,fantasy_team,pro_team,position,injured,injury_status,is_free_agent
Victor Wembanyama,Dixon Suburbmans,SAS,C,False,ACTIVE,False
Karl-Anthony Towns,Dixon Suburbmans,NYK,C,False,ACTIVE,False
Scottie Barnes,Dixon Suburbmans,TOR,SF,False,ACTIVE,False
Rudy Gobert,Dixon Suburbmans,MIN,C,False,ACTIVE,False
Nikola Vucevic,Dixon Suburbmans,CHI,C,False,ACTIVE,False
Paul George,Dixon Suburbmans,PHL,SF,False,ACTIVE,False
Josh Hart,Dixon Suburbmans,NYK,SF,False,ACTIVE,False
John Collins,Dixon Suburbmans,UTA,PF,True,OUT,False
Dyson Daniels,Dixon Suburbmans,ATL,SG,False,DAY_TO_DAY,False
CJ McCollum,Dixon Suburbmans,NOP,SG,False,ACTIVE,False
Chris Paul,Dixon Suburbmans,SAS,PG,False,ACTIVE,False
P.J. Washington,Dixon Suburbmans,DAL,PF,False,ACTIVE,False
Trey Murphy III,Dixon Suburbmans,NOP,SF,False,ACTIVE,False
Cam Thomas,Dixon Suburbmans,BKN,SG,True,OUT,False
Domantas Sabonis,WaRrIoRsInFiVe,SAC,C,False,ACTIVE,False
Jayson Tatum,WaRrIoRsInFiVe,BOS,PF,False,ACTIVE,False
De'Aaron Fox,WaRrIoRsInFiVe,SAC,PG,False,ACTIVE,False
Dejounte Murray,WaRrIoRsInFiVe,NOP,SG,False,ACTIVE,False
Jamal Murray,WaRrIoRsInFiVe,DEN,PG,False,ACTIVE,False
Tobias Harris,WaRrIoRsInFiVe,DET,PF,False,ACTIVE,False
Ivica Zubac,WaRrIoRsInFiVe,LAC,C,False,ACTIVE,False
Tyus Jones,WaRrIoRsInFiVe,PHO,PG,False,ACTIVE,False
Aaron Gordon,WaRrIoRsInFiVe,DEN,PF,True,OUT,False
Kawhi Leonard,WaRrIoRsInFiVe,LAC,SF,True,OUT,False
Bobby Portis,WaRrIoRsInFiVe,MIL,PF,False,ACTIVE,False
Amen Thompson,WaRrIoRsInFiVe,HOU,SF,False,SUSPENSION,False
Yves Missi,WaRrIoRsInFiVe,NOP,C,False,ACTIVE,False
Collin Sexton,WaRrIoRsInFiVe,UTA,SG,False,ACTIVE,False
Luka Doncic,Toronto Purebloods,DAL,PG,True,OUT,False
LeBron James,Toronto Purebloods,LAL,SF,False,ACTIVE,False
Bam Adebayo,Toronto Purebloods,MIA,C,False,ACTIVE,False
LaMelo Ball,Toronto Purebloods,CHA,PG,True,OUT,False
Jarrett Allen,Toronto Purebloods,CLE,C,False,ACTIVE,False
Coby White,Toronto Purebloods,CHI,PG,False,ACTIVE,False
Zach LaVine,Toronto Purebloods,CHI,SG,False,ACTIVE,False
Dereck Lively II,Toronto Purebloods,DAL,C,True,OUT,False
Clint Capela,Toronto Purebloods,ATL,C,False,ACTIVE,False
Bradley Beal,Toronto Purebloods,PHO,SF,False,DAY_TO_DAY,False
Christian Braun,Toronto Purebloods,DEN,SG,False,ACTIVE,False
Andrew Wiggins,Toronto Purebloods,GSW,SF,False,ACTIVE,False
Jeremy Sochan,Toronto Purebloods,SAS,PF,False,DAY_TO_DAY,False
Nikola Jokic,You Got Serbed,DEN,C,False,ACTIVE,False
Devin Booker,You Got Serbed,PHO,PG,False,ACTIVE,False
Alperen Sengun,You Got Serbed,HOU,C,False,ACTIVE,False
Lauri Markkanen,You Got Serbed,UTA,PF,False,ACTIVE,False
Stephen Curry,You Got Serbed,GSW,PG,False,DAY_TO_DAY,False
Desmond Bane,You Got Serbed,MEM,SG,False,ACTIVE,False
Mikal Bridges,You Got Serbed,NYK,SF,False,ACTIVE,False
