,player_name
0,Player(Cade Cunningham)
1,Player(Derrick White)
2,Player(Brandon Ingram)
3,Player(Desmond Bane)
4,Player(Klay Thompson)
5,Player(Jonas Valanciunas)
6,Player(Scottie Barnes)
7,Player(Bogdan Bogdanovic)
8,Player(LaMelo Ball)
9,Player(Jalen Duren)
10,Player(Russell Westbrook)
11,Player(Mike Conley)
12,Player(OG Anunoby)
13,Player(RJ Barrett)
14,Player(Keldon Johnson)
15,Player(Tre Jones)
16,Player(Spencer Dinwiddie)
17,Player(Buddy Hield)
18,Player(Devin Vassell)
19,Player(Alperen Sengun)
20,Player(Anfernee Simons)
21,Player(P.J. Washington)
22,Player(Kelly Oubre Jr.)
23,Player(Walker Kessler)
24,Player(Andrew Wiggins)
25,Player(Jerami Grant)
26,Player(Scoot Henderson)
27,Player(Caris LeVert)
28,Player(Jakob Poeltl)
29,Player(Jordan Clarkson)
30,Player(Zach LaVine)
31,Player(Malcolm Brogdon)
32,Player(Cameron Johnson)
33,Player(Marcus Smart)
34,Player(Wendell Carter Jr.)
35,Player(Kevin Huerter)
36,Player(Ja Morant)
37,Player(Kevon Looney)
38,Player(Shaedon Sharpe)
39,Player(Onyeka Okongwu)
40,Player(Malik Monk)
41,Player(Herbert Jones)
42,Player(Grayson Allen)
43,Player(Mark Williams)
44,Player(Amen Thompson)
45,Player(Ausar Thompson)
46,Player(Bojan Bogdanovic)
47,Player(Alex Caruso)
48,Player(T.J. McConnell)
49,Player(Harrison Barnes)
50,Player(Jalen Suggs)
51,Player(Ben Simmons)
52,Player(Gary Trent Jr.)
53,Player(Royce O'Neale)
54,Player(Kyle Anderson)
55,Player(Al Horford)
56,Player(Christian Wood)
57,Player(Cole Anthony)
58,Player(Ayo Dosunmu)
59,Player(Tim Hardaway Jr.)
60,Player(Robert Williams III)
61,Player(Kentavious Caldwell-Pope)
62,Player(Jarred Vanderbilt)
63,Player(Gordon Hayward)
64,Player(Zach Collins)
65,Player(De'Andre Hunter)
66,Player(Jaime Jaquez Jr.)
67,Player(Mitchell Robinson)
68,Player(Saddiq Bey)
69,Player(Miles McBride)
70,Player(Luguentz Dort)
71,Player(Bruce Brown)
72,Player(Dillon Brooks)
73,Player(Dereck Lively II)
74,Player(Markelle Fultz)
75,Player(Kyle Lowry)
76,Player(De'Anthony Melton)
77,Player(Scotty Pippen Jr.)
78,Player(Brandin Podziemski)
79,Player(Keyonte George)
80,Player(GG Jackson)
81,Player(Bennedict Mathurin)
82,Player(Andre Drummond)
83,Player(Jonathan Isaac)
84,Player(Norman Powell)
85,Player(Duncan Robinson)
86,Player(Malik Beasley)
87,Player(Jaden McDaniels)
88,Player(Tre Mann)
89,Player(Grant Williams)
90,Player(Vince Williams Jr.)
91,Player(Santi Aldama)
92,Player(Aaron Nesmith)
93,Player(Reggie Jackson)
94,Player(Obi Toppin)
95,Player(Kevin Porter Jr.)
96,Player(Mason Plumlee)
97,Player(Eric Gordon)
98,Player(Kemba Walker)
99,Player(Vasilije Micic)
100,Player(Jordan Goodwin)
101,Player(Steven Adams)
102,Player(Bol Bol)
103,Player(Isaiah Stewart)
104,Player(Moritz Wagner)
105,Player(Jabari Walker)
106,Player(Talen Horton-Tucker)
107,Player(Kevin Love)
108,Player(Killian Hayes)
109,Player(Tari Eason)
110,Player(Sam Hauser)
111,Player(Caleb Martin)
112,Player(Dorian Finney-Smith)
113,Player(James Wiseman)
114,Player(Chimezie Metu)
115,Player(Seth Curry)
116,Player(Xavier Tillman)
117,Player(Isaac Okoro)
118,Player(Jake LaRavia)
