Player Name,Position
Precious Achiuwa,Forward
Steven Adams,Center
Bam Adebayo,Center-Forward
Ochai Agbaji,Guard
Santi Aldama,Forward-Center
Nickeil Alexander-Walker,Guard
Grayson Allen,Guard
Jarrett Allen,Center
Jose Alvarado,Guard
Kyle Anderson,Forward-Guard
Giannis Antetokounmpo,Forward
Thanasis Antetokounmpo,Forward
Cole Anthony,Guard
OG Anunoby,Forward-Guard
Ryan Arcidiacono,Guard
Deni Avdija,Forward
Deandre Ayton,Center
Udoka Azubuike,Center-Forward
Marvin Bagley III,Forward
Amari Bailey,Guard
Patrick Baldwin Jr.,Forward
LaMelo Ball,Guard
Lonzo Ball,Guard
Mo Bamba,Center
Paolo Banchero,Forward
Desmond Bane,Guard
Dalano Banton,Forward
Dominick Barlow,Forward
Harrison Barnes,Forward
Scottie Barnes,Forward-Guard
RJ Barrett,Forward-Guard
Charles Bassey,Center-Forward
Emoni Bates,Forward
Keita Bates-Diop,Forward
Nicolas Batum,Guard-Forward
Bradley Beal,Guard
Malik Beasley,Guard
MarJon Beauchamp,Forward
Charles Bediako,
Davis Bertans,Forward
Patrick Beverley,Guard
Saddiq Bey,Guard-Forward
Goga Bitadze,Center-Forward
Onuralp Bitim,Forward
Bismack Biyombo,Center
Anthony Black,Guard
Leaky Black,Forward
Bogdan Bogdanovic,Guard
Bojan Bogdanovic,Forward
Bol Bol,Center-Forward
Marques Bolden,Center
Devin Booker,Guard
Brandon Boston Jr.,Guard
Chris Boucher,Forward
James Bouknight,Guard
Malaki Branham,Forward
Christian Braun,Guard
Mikal Bridges,Guard-Forward
Miles Bridges,Forward
Oshae Brissett,Forward-Guard
Malcolm Brogdon,Guard
Armoni Brooks,Guard
Dillon Brooks,Guard-Forward
Bruce Brown,Guard-Forward
Jaylen Brown,Guard-Forward
Kendall Brown,Guard
Kobe Brown,Forward
Moses Brown,Center
Greg Brown III,Forward
Charlie Brown Jr.,Guard
Troy Brown Jr.,Guard-Forward
Jalen Brunson,Guard
Thomas Bryant,Center-Forward
Kobe Bufkin,Guard
Reggie Bullock Jr.,Guard-Forward
Alec Burks,Guard
Jared Butler,Guard
Jimmy Butler,Forward
John Butler Jr.,Forward
Jamal Cain,Forward
Kentavious Caldwell-Pope,Guard
Toumani Camara,Forward
Vlatko Cancar,Forward
Clint Capela,Center
Jevon Carter,Guard
Wendell Carter Jr.,Center-Forward
Alex Caruso,Guard
Colin Castleton,Center
Malcolm Cazalon,Guard
Julian Champagnie,Forward
Max Christie,Guard
Josh Christopher,Guard
Sidy Cissoko,Guard
Jaylen Clark,Guard
Brandon Clarke,Forward
Jordan Clarkson,Guard
Nic Claxton,Center
Noah Clowney,Forward-Center
Amir Coffey,Guard-Forward
John Collins,Forward-Center
Zach Collins,Forward-Center
Mike Conley,Guard
Pat Connaughton,Guard
Bilal Coulibaly,Guard
