game_date,opponent_team,team
2025-01-01,ORL,DET
2025-01-01,CHI,WAS
2025-01-01,NOP,MIA
2025-01-01,UTA,NYK
2025-01-01,BKN,TOR
2025-01-01,DAL,HOU
2025-01-01,ATL,DEN
2025-01-01,PHI,SAC
2025-01-02,IND,MIA
2025-01-02,BOS,MIN
2025-01-02,BKN,MIL
2025-01-02,LAC,OKC
2025-01-02,PHI,GSW
2025-01-02,POR,LAL
2025-01-03,CHA,DET
2025-01-03,ORL,TOR
2025-01-03,BOS,HOU
2025-01-03,WAS,NOP
2025-01-03,NYK,OKC
2025-01-03,CLE,DAL
2025-01-03,SAS,DEN
2025-01-03,MEM,SAC
2025-01-03,ATL,LAL
2025-01-04,PHI,BKN
2025-01-04,MIN,DET
2025-01-04,PHX,IND
2025-01-04,UTA,MIA
2025-01-04,NYK,CHI
2025-01-04,POR,MIL
2025-01-04,DEN,SAS
2025-01-04,MEM,GSW
2025-01-04,ATL,LAC
2025-01-05,BOS,OKC
2025-01-05,CHA,CLE
2025-01-05,NOP,WAS
2025-01-05,UTA,ORL
2025-01-05,LAL,HOU
2025-01-05,SAC,GSW
2025-01-06,POR,DET
2025-01-06,PHX,PHI
2025-01-06,IND,BKN
2025-01-06,ORL,NYK
2025-01-06,MIL,TOR
2025-01-06,SAS,CHI
2025-01-06,DAL,MEM
2025-01-06,LAC,MIN
2025-01-06,MIA,SAC
2025-01-07,PHX,CHA
2025-01-07,HOU,WAS
2025-01-07,LAL,DAL
2025-01-07,MIN,NOP
2025-01-07,ATL,UTA
2025-01-07,BOS,DEN
2025-01-07,MIA,GSW
2025-01-08,OKC,CLE
2025-01-08,CHI,IND
2025-01-08,WAS,PHI
2025-01-08,TOR,NYK
2025-01-08,DET,BKN
2025-01-08,POR,NOP
2025-01-08,LAC,DEN
2025-01-08,SAS,MIL
2025-01-09,TOR,CLE
2025-01-09,GSW,DET
2025-01-09,MIN,ORL
2025-01-09,HOU,MEM
2025-01-09,POR,DAL
2025-01-09,ATL,PHX
2025-01-09,MIA,UTA
2025-01-09,CHA,LAL
2025-01-10,GSW,IND
2025-01-10,MIL,ORL
2025-01-10,NOP,PHI
2025-01-10,SAC,BOS
2025-01-10,OKC,NYK
2025-01-10,WAS,CHI
2025-01-10,BKN,DEN
2025-01-11,HOU,ATL
2025-01-11,UTA,PHX
2025-01-11,TOR,DET
2025-01-11,MEM,MIN
2025-01-11,MIA,POR
2025-01-11,SAS,LAL
2025-01-11,CHA,LAC
2025-01-12,MIL,NYK
2025-01-12,DEN,DAL
2025-01-12,SAC,CHI
2025-01-12,NOP,BOS
2025-01-12,IND,CLE
2025-01-12,PHI,ORL
2025-01-12,OKC,WAS
2025-01-12,BKN,UTA
2025-01-12,CHA,PHX
2025-01-13,MIN,WAS
2025-01-13,DET,NYK
2025-01-13,GSW,TOR
2025-01-13,MEM,HOU
2025-01-13,SAS,LAL
2025-01-13,MIA,LAC
2025-01-14,CLE,IND
2025-01-14,OKC,PHI
2025-01-14,PHX,ATL
2025-01-14,NOP,CHI
2025-01-14,SAC,MIL
2025-01-14,DEN,DAL
2025-01-14,BKN,POR
2025-01-15,NYK,PHI
2025-01-15,BOS,TOR
2025-01-15,ATL,CHI
2025-01-15,ORL,MIL
2025-01-15,GSW,MIN
2025-01-15,DAL,NOP
2025-01-15,MEM,SAS
2025-01-15,HOU,DEN
2025-01-15,CHA,UTA
2025-01-15,MIA,LAL
2025-01-15,BKN,LAC
2025-01-16,IND,DET
2025-01-16,PHX,WAS
2025-01-16,CLE,OKC
2025-01-16,LAC,POR
2025-01-16,HOU,SAC
2025-01-17,ORL,BOS
2025-01-17,MIN,NYK
2025-01-17,DEN,MIA
2025-01-17,TOR,MIL
2025-01-17,UTA,NOP
2025-01-17,MEM,SAS
2025-01-17,OKC,DAL
2025-01-17,CHA,CHI
2025-01-17,BKN,LAL
2025-01-18,PHX,DET
2025-01-18,ATL,BOS
2025-01-18,PHI,IND
2025-01-18,WAS,GSW
2025-01-18,CLE,MIN
2025-01-18,HOU,POR
2025-01-19,SAS,MIA
2025-01-19,DEN,ORL
2025-01-19,PHI,MIL
2025-01-19,BKN,OKC
2025-01-19,LAL,LAC
2025-01-19,CHI,POR
2025-01-19,WAS,SAC
2025-01-20,DAL,CHA
2025-01-20,DET,HOU
2025-01-20,MIN,MEM
2025-01-20,ATL,NYK
2025-01-20,PHX,CLE
2025-01-20,BOS,GSW
2025-01-20,UTA,NOP
2025-01-21,NYK,BKN
2025-01-21,POR,MIA
2025-01-21,ORL,TOR
2025-01-21,PHI,DEN
2025-01-21,WAS,LAL
2025-01-21,CHI,LAC
2025-01-22,DET,ATL
2025-01-22,PHX,BKN
2025-01-22,MIN,DAL
2025-01-22,CLE,HOU
2025-01-22,CHA,MEM
2025-01-22,MIL,NOP
2025-01-22,UTA,OKC
2025-01-22,GSW,SAC
2025-01-22,BOS,LAC
2025-01-23,SAS,IND
2025-01-23,POR,ORL
2025-01-23,TOR,ATL
2025-01-23,MIA,MIL
2025-01-23,DAL,OKC
2025-01-23,SAC,DEN
2025-01-23,WAS,UTA
2025-01-23,CHI,GSW
2025-01-23,BOS,LAL
2025-01-24,POR,CHA
2025-01-24,CLE,PHI
2025-01-24,NOP,MEM
2025-01-25,IND,SAS
2025-01-25,DEN,MIN
2025-01-25,BOS,DAL
2025-01-25,MIA,BKN
2025-01-25,NOP,CHA
2025-01-25,DET,ORL
2025-01-25,TOR,ATL
2025-01-25,HOU,CLE
2025-01-25,SAC,NYK
2025-01-25,PHI,CHI
2025-01-25,UTA,MEM
2025-01-25,LAL,GSW
2025-01-25,WAS,PHX
2025-01-25,MIL,LAC
2025-01-26,OKC,POR
2025-01-27,LAL,CHA
2025-01-27,DET,CLE
2025-01-27,HOU,BOS
2025-01-27,SAC,BKN
2025-01-27,ORL,MIA
2025-01-27,MEM,NYK
2025-01-27,NOP,TOR
2025-01-27,DEN,CHI
2025-01-27,ATL,MIN
2025-01-27,WAS,DAL
2025-01-27,MIL,UTA
2025-01-27,LAC,PHX
2025-01-28,LAL,PHI
2025-01-28,UTA,GSW
2025-01-28,MIL,POR
2025-01-29,BKN,CHA
2025-01-29,DET,IND
2025-01-29,TOR,WAS
2025-01-29,CHI,BOS
2025-01-29,CLE,MIA
2025-01-29,DEN,NYK
2025-01-29,SAC,PHI
2025-01-29,DAL,NOP
2025-01-29,LAC,SAS
2025-01-29,MIN,PHX
2025-01-29,OKC,GSW
2025-01-30,LAL,WAS
2025-01-30,ATL,CLE
2025-01-30,HOU,MEM
2025-01-30,MIN,UTA
2025-01-30,ORL,POR
2025-01-31,LAC,CHA
2025-01-31,DAL,DET
2025-01-31,DEN,PHI
2025-01-31,CHI,TOR
2025-01-31,BOS,NOP
2025-01-31,MIL,SAS
2025-01-31,PHX,GSW
2025-02-01,ATL,IND
2025-02-01,ORL,UTA
2025-02-01,DEN,CHA
2025-02-01,BKN,HOU
2025-02-01,WAS,MIN
2025-02-01,SAC,OKC
2025-02-01,LAL,NYK
2025-02-01,MIA,SAS
2025-02-01,PHX,POR
2025-02-02,CHI,DET
2025-02-02,DAL,CLE
2025-02-02,LAC,TOR
2025-02-02,BOS,PHI
2025-02-02,MEM,MIL
2025-02-03,WAS,CHA
2025-02-03,ATL,DET
2025-02-03,HOU,NYK
2025-02-03,SAS,MEM
2025-02-03,SAC,MIN
2025-02-03,MIL,OKC
2025-02-03,NOP,DEN
2025-02-03,IND,UTA
2025-02-03,ORL,GSW
2025-02-03,PHX,POR
2025-02-04,BOS,CLE
2025-02-04,HOU,BKN
2025-02-04,DAL,PHI
2025-02-04,NYK,TOR
2025-02-04,MIA,CHI
2025-02-04,LAL,LAC
2025-02-04,IND,POR
2025-02-05,MIL,CHA
2025-02-05,CLE,DET
2025-02-05,SAS,ATL
2025-02-05,WAS,BKN
2025-02-05,MIA,PHI
2025-02-05,MEM,TOR
2025-02-05,CHI,MIN
2025-02-05,PHX,OKC
2025-02-05,GSW,UTA
2025-02-05,NOP,DEN
2025-02-05,ORL,SAC
2025-02-06,DAL,BOS
2025-02-06,HOU,MIN
2025-02-06,ORL,DEN
2025-02-06,GSW,LAL
2025-02-06,SAC,POR
2025-02-06,IND,LAC
2025-02-07,SAS,CHA
2025-02-07,CLE,WAS
2025-02-07,MIL,ATL
2025-02-07,MIA,BKN
2025-02-07,PHI,DET
2025-02-07,TOR,OKC
2025-02-07,UTA,PHX
2025-02-08,HOU,DAL
2025-02-08,IND,LAL
2025-02-08,SAS,ORL
2025-02-08,ATL,WAS
2025-02-08,GSW,CHI
2025-02-08,OKC,MEM
2025-02-08,POR,MIN
2025-02-08,BOS,NYK
2025-02-08,DEN,PHX
2025-02-08,NOP,SAC
2025-02-08,UTA,LAC
2025-02-09,CHA,DET
2025-02-09,TOR,HOU
2025-02-09,PHI,MIL
2025-02-10,MIN,CLE
2025-02-10,ATL,ORL
2025-02-10,SAS,WAS
2025-02-10,CHA,BKN
2025-02-10,BOS,MIA
2025-02-10,GSW,MIL
2025-02-10,NOP,OKC
2025-02-10,SAC,DAL
2025-02-10,POR,DEN
2025-02-11,TOR,PHI
2025-02-11,NYK,IND
2025-02-11,DET,CHI
2025-02-11,MEM,PHX
2025-02-11,UTA,LAL
2025-02-12,SAS,BOS
2025-02-12,CHA,ORL
2025-02-12,IND,WAS
2025-02-12,PHI,BKN
2025-02-12,ATL,NYK
2025-02-12,CLE,TOR
2025-02-12,DET,CHI
2025-02-12,MIL,MIN
2025-02-12,SAC,NOP
2025-02-12,MIA,OKC
2025-02-12,PHX,HOU
2025-02-12,POR,DEN
2025-02-12,LAL,UTA
2025-02-12,GSW,DAL
2025-02-12,MEM,LAC
2025-02-13,GSW,HOU
2025-02-13,SAC,NOP
2025-02-13,MIA,DAL
2025-02-13,OKC,MIN
2025-02-20,MEM,IND
2025-02-20,BOS,PHI
2025-02-20,ORL,ATL
2025-02-20,CLE,BKN
2025-02-20,CHI,NYK
2025-02-20,LAC,MIL
2025-02-20,CHA,DEN
2025-02-20,PHX,SAS
2025-02-20,LAL,POR
2025-02-21,NYK,CLE
2025-02-21,MEM,ORL
2025-02-21,MIL,WAS
2025-02-21,MIA,TOR
2025-02-21,MIN,HOU
2025-02-21,DET,SAS
2025-02-21,NOP,DAL
2025-02-21,OKC,UTA
2025-02-21,GSW,SAC
2025-02-22,PHX,CHI
2025-02-22,BKN,PHI
2025-02-22,LAL,DEN
2025-02-22,HOU,UTA
2025-02-22,CHA,POR
2025-02-23,NYK,BOS
2025-02-23,DAL,GSW
2025-02-23,LAC,IND
2025-02-23,DET,ATL
2025-02-23,WAS,ORL
2025-02-23,PHX,TOR
2025-02-23,MIA,MIL
2025-02-23,SAS,NOP
2025-02-23,MEM,CLE
2025-02-23,OKC,MIN
2025-02-24,LAC,DET
2025-02-24,DEN,IND
2025-02-24,CHI,PHI
2025-02-24,BKN,WAS
2025-02-24,MIA,ATL
2025-02-24,MIN,OKC
2025-02-24,POR,UTA
2025-02-24,CHA,SAC
2025-02-25,BOS,TOR
2025-02-25,CLE,ORL
2025-02-25,MIL,HOU
2025-02-25,PHX,MEM
2025-02-25,SAS,NOP
2025-02-25,CHA,GSW
2025-02-25,DAL,LAL
2025-02-26,BOS,DET
2025-02-26,TOR,IND
2025-02-26,PHI,NYK
2025-02-26,POR,WAS
2025-02-26,OKC,BKN
2025-02-26,ATL,MIA
2025-02-26,LAC,CHI
2025-02-26,SAC,UTA
2025-02-26,SAS,HOU
2025-02-27,GSW,ORL
2025-02-27,DEN,MIL
2025-02-27,CHA,DAL
2025-02-27,NOP,PHX
2025-02-27,MIN,LAL
2025-02-28,DEN,DET
2025-02-28,OKC,ATL
2025-02-28,CLE,BOS
2025-02-28,POR,BKN
2025-02-28,IND,MIA
2025-02-28,TOR,CHI
2025-02-28,NYK,MEM
2025-02-28,NOP,PHX
2025-02-28,MIN,UTA
2025-02-28,LAC,LAL
2025-03-01,WAS,CHA
2025-03-01,BKN,DET
