Unnamed: 0,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0.0,22300114,1610612753,ORL,Orlando,1630532,Franz Wagner,Franz,F,,32.000000:21,6.0,13.0,0.462,2.0,7.0,0.286,0.0,0.0,0.0,1.0,7.0,8.0,3.0,0.0,1.0,3.0,4.0,14.0,5.0
1.0,22300114,1610612753,ORL,Orlando,1631094,Paolo Banchero,Paolo,F,,32.000000:03,5.0,13.0,0.385,1.0,3.0,0.333,4.0,8.0,0.5,0.0,4.0,4.0,4.0,4.0,0.0,3.0,3.0,15.0,-15.0
2.0,22300114,1610612753,ORL,Orlando,1628976,Wendell Carter Jr.,Wendell,C,,29.000000:42,2.0,8.0,0.25,0.0,2.0,0.0,3.0,6.0,0.5,1.0,7.0,8.0,3.0,1.0,0.0,2.0,2.0,7.0,-16.0
3.0,22300114,1610612753,ORL,Orlando,1630591,Jalen Suggs,Jalen,G,,31.000000:36,5.0,10.0,0.5,1.0,5.0,0.2,0.0,0.0,0.0,2.0,4.0,6.0,3.0,1.0,1.0,3.0,5.0,11.0,-12.0
4.0,22300114,1610612753,ORL,Orlando,1628365,Markelle Fultz,Markelle,G,,32.000000:12,6.0,11.0,0.545,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,12.0,-16.0
5.0,22300114,1610612753,ORL,Orlando,1630175,Cole Anthony,Cole,,,17.000000:31,3.0,6.0,0.5,0.0,2.0,0.0,4.0,6.0,0.667,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,10.0,-18.0
6.0,22300114,1610612753,ORL,Orlando,203914,Gary Harris,Gary,,,17.000000:45,3.0,5.0,0.6,2.0,4.0,0.5,1.0,3.0,0.333,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,9.0,0.0
7.0,22300114,1610612753,ORL,Orlando,1629021,Moritz Wagner,Moritz,,,14.000000:22,4.0,7.0,0.571,0.0,2.0,0.0,5.0,6.0,0.833,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,13.0,1.0
8.0,22300114,1610612753,ORL,Orlando,204060,Joe Ingles,Joe,,,12.000000:48,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0
9.0,22300114,1610612753,ORL,Orlando,1641710,Anthony Black,Anthony,,,3.000000:56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0
10.0,22300114,1610612753,ORL,Orlando,1631216,Caleb Houstan,Caleb,,,3.000000:56,2.0,5.0,0.4,1.0,4.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-1.0
11.0,22300114,1610612753,ORL,Orlando,1629643,Chuma Okeke,Chuma,,,3.000000:56,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,-1.0
