Name,bet_date,Opponent,stat_name,stat_line,est_prob,opponent_rolling_rating_scaled,hit_rate,stat_average,stat_min_l5,stat_max_l5,over,log_pred,correct_log,pts,reb,ast,fg3m
Aaron Gordon,2024-01-21T00:00:00Z,WAS,reb,6.5,0.6047829199102894,1.9178352218029942,0.5,6.702702702702703,1,12,1,1,1,11,10,2,0
Aaron Gordon,2024-01-21T00:00:00Z,WAS,pts,15.5,0.13242589520649578,0.2807486014430623,0.5,13.756756756756756,2,30,0,0,1,11,10,2,0
Aaron Gordon,2024-01-21T00:00:00Z,WAS,fg3m,0.5,0.156765318834809,-0.18426425486276327,0.5,0.5405405405405406,0,2,0,0,1,11,10,2,0
Aaron Gordon,2024-01-23T00:00:00Z,IND,ast,2.5,0.2776286560189051,-0.08663616064753638,0.5,3.157894736842105,0,7,0,0,1,9,1,1,0
Aaron Gordon,2024-01-23T00:00:00Z,IND,reb,6.5,0.8244660527998697,0.7148694915728069,0.5,6.7894736842105265,1,12,0,1,0,9,1,1,0
Aaron Gordon,2024-01-23T00:00:00Z,IND,fg3m,0.5,0.16875491044990218,-0.7340616533395989,0.4,0.5263157894736843,0,2,0,0,1,9,1,1,0
Aaron Gordon,2024-01-23T00:00:00Z,IND,pts,14.5,0.04945477838039154,0.385429607877862,0.5,13.68421052631579,2,30,0,0,1,9,1,1,0
Aaron Gordon,2024-01-25T00:00:00Z,NYK,pts,12.5,0.023573095488918606,-1.1761478847202593,0.5,13.564102564102564,2,30,0,0,1,12,5,2,0
Aaron Gordon,2024-01-25T00:00:00Z,NYK,ast,2.5,0.23084775136660068,-0.3345158501687713,0.5,3.1025641025641026,0,7,0,0,1,12,5,2,0
Aaron Gordon,2024-01-25T00:00:00Z,NYK,fg3m,0.5,0.18557328581471963,-1.2902033515155429,0.3,0.5128205128205128,0,2,0,0,1,12,5,2,0
Aaron Nesmith,2024-01-23T00:00:00Z,DEN,fg3m,1.5,0.09658719770664424,-1.1677037866651194,0.5,2.135135135135135,0,7,0,0,1,13,9,0,1
Aaron Nesmith,2024-01-23T00:00:00Z,DEN,reb,3.5,0.15362166259941035,-0.5753135934901744,0.6,3.3513513513513513,1,9,1,0,0,13,9,0,1
Aaron Nesmith,2024-01-23T00:00:00Z,DEN,pts,10.5,0.12002652707771733,-0.8807899041269135,0.5,11.45945945945946,0,26,1,0,1,13,9,0,1
Aaron Nesmith,2024-01-25T00:00:00Z,PHI,fg3m,1.5,0.05853014988595835,0.11244907521291986,0.39999999999999997,2.1052631578947367,0,7,1,0,1,16,8,3,3
Aaron Nesmith,2024-01-25T00:00:00Z,PHI,pts,11.5,0.13881959314654416,0.07345519268520566,0.5,11.5,0,26,1,0,0,16,8,3,3
Aaron Nesmith,2024-01-25T00:00:00Z,PHI,reb,3.5,0.31690272986789125,0.24414927304344786,0.7,3.5,1,9,1,0,0,16,8,3,3
Aaron Nesmith,2024-01-25T00:00:00Z,PHI,ast,1.5,0.20297856248827548,-0.6775553906801814,0.4,1.0789473684210527,0,3,1,0,0,16,8,3,3
