,participant_name,market,description,handicap
0,Alec Burks,player_points_over_under,Alec Burks - Alt Points,10.5
1,Alec Burks,player_points_over_under,Alec Burks - Alt Points,11.5
2,Alec Burks,player_points_over_under,Alec Burks - Alt Points,12.5
3,Alec Burks,player_points_over_under,Alec Burks - Alt Points,13.5
4,,player_points_over_under,Alec Burks - Alt Points,14.5
5,Alec Burks,player_points_over_under,Alec Burks - Alt Points,5.5
6,Alec Burks,player_points_over_under,Alec Burks - Alt Points,6.5
7,Alec Burks,player_points_over_under,Alec Burks - Alt Points,7.5
8,Alec Burks,player_points_over_under,Alec Burks - Alt Points,8.5
9,Alec Burks,player_points_over_under,Alec Burks - Alt Points,9.5
10,Alec Burks,player_points_over_under,Alec Burks - Points,10.5
11,Ausar Thompson,player_points_over_under,Ausar Thompson - Points,6.5
12,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,10.5
13,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,11.5
14,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,12.5
15,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,13.5
16,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,14.5
17,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,15.5
18,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,16.5
19,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,17.5
20,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,18.5
21,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,19.5
22,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,20.5
23,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,21.5
24,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Alt Points,22.5
25,Bojan Bogdanovic,player_points_over_under,Bojan Bogdanovic - Points,17.5
26,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,13.5
27,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,14.5
28,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,15.5
29,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,16.5
30,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,17.5
31,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,18.5
32,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,19.5
33,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,20.5
34,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,21.5
35,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,22.5
36,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,23.5
37,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,24.5
38,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,25.5
39,Cade Cunningham,player_points_over_under,Cade Cunningham - Alt Points,26.5
40,,player_points_over_under,Cade Cunningham - Points,20.5
41,Cade Cunningham,player_points_over_under,Cade Cunningham - Points,21.5
42,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,12.5
43,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,13.5
44,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,14.5
45,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,15.5
46,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,16.5
47,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,17.5
48,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,18.5
49,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,19.5
50,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,20.5
51,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,21.5
52,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,22.5
53,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,23.5
54,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,24.5
55,Franz Wagner,player_points_over_under,Franz Wagner - Alt Points,25.5
56,,player_points_over_under,Franz Wagner - Points,19.5
57,Franz Wagner,player_points_over_under,Franz Wagner - Points,20.5
58,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,10.5
59,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,11.5
60,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,12.5
61,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,13.5
62,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,14.5
63,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,15.5
64,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,16.5
65,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,17.5
66,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,18.5
67,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,8.5
68,Jaden Ivey,player_points_over_under,Jaden Ivey - Alt Points,9.5
69,Jaden Ivey,player_points_over_under,Jaden Ivey - Points,14.5
70,Jalen Duren,player_points_over_under,Jalen Duren - Alt Points,10.5
