,full_name,prop,value,money,grade
3,Anthony Davis,points,26.5,-106,F
16,Austin Reaves,points,15.5,-128,B
31,Brandin Podziemski,points,12.5,-110,F
41,Brandon Ingram,points,23.5,-113,F
55,Brandon Miller,points,22.5,-120,D
69,CJ McCollum,points,19.5,-120,F
82,Cam Thomas,points,24.5,-115,C
95,Cameron Johnson,points,14.5,-120,F
108,D'Angelo Russell,points,17.5,-115,D
123,Darius Garland,points,13.5,-123,D
135,De'Aaron Fox,points,24.5,-115,D
146,Dejounte Murray,points,22.5,-110,D
160,Domantas Sabonis,points,18.5,-109,B
172,Donovan Mitchell,points,28.5,-115,D
182,Draymond Green,points,7.5,-135,B+
196,Evan Mobley,points,12.5,-103,D
210,Harrison Barnes,points,12.5,-119,B
223,Jalen Johnson,points,16.5,-115,F
237,James Harden,points,20.5,-130,F
250,Jarrett Allen,points,16.5,-113,C+
263,Jonas Valanciunas,points,15.5,-105,F
277,Jonathan Kuminga,points,19.5,-140,F
291,Kawhi Leonard,points,27.5,-125,F
314,Kevin Huerter,points,11.5,-110,B
327,Klay Thompson,points,19.5,-110,F
339,Kyrie Irving,points,27.5,-115,F
352,LeBron James,points,24.5,-115,D
367,Luka Doncic,points,36.5,-124,F
381,Mason Plumlee,points,9.5,100,F
395,Max Strus,points,9.5,-115,F
408,Mikal Bridges,points,22.5,-120,C-
423,Miles Bridges,points,23.5,-129,F
436,Nic Claxton,points,12.5,-125,D
451,Onyeka Okongwu,points,12.5,-102,F
465,Spencer Dinwiddie,points,10.5,-130,F
479,Stephen Curry,points,29.5,-123,F
491,Terance Mann,points,8.5,-115,F
505,Tobias Harris,points,22.5,-123,F
519,Trae Young,points,26.5,-120,F
532,Tyrese Maxey,points,29.5,-130,B-
546,Zion Williamson,points,23.5,-113,C+
558,Anthony Davis,rebounds,12.5,-128,B-
573,Austin Reaves,rebounds,3.5,-145,F
587,Brandin Podziemski,rebounds,7.5,110,F
600,Brandon Ingram,rebounds,5.5,-120,C+
615,Brandon Miller,rebounds,4.5,-105,F
629,CJ McCollum,rebounds,4.5,-125,F
642,Cam Thomas,rebounds,3.5,125,B
654,Cameron Johnson,rebounds,4.5,-145,C-
669,D'Angelo Russell,rebounds,2.5,-166,F
683,Darius Garland,rebounds,2.5,145,F
695,De'Aaron Fox,rebounds,3.5,-140,F
706,Dejounte Murray,rebounds,5.5,114,B-
721,Domantas Sabonis,rebounds,13.5,100,D
732,Donovan Mitchell,rebounds,5.5,100,D+
744,Draymond Green,rebounds,6.5,-150,B
758,Evan Mobley,rebounds,7.5,-120,C-
773,Harrison Barnes,rebounds,3.5,126,F
785,Jalen Johnson,rebounds,9.5,-125,F
798,James Harden,rebounds,5.5,110,D+
812,Jarrett Allen,rebounds,11.5,-108,A-
825,Jonas Valanciunas,rebounds,10.5,-120,D
839,Jonathan Kuminga,rebounds,6.5,-110,D
852,Kawhi Leonard,rebounds,6.5,-105,C-
867,Keegan Murray,rebounds,5.5,120,F
877,Kevin Huerter,rebounds,3.5,-154,D
889,Klay Thompson,rebounds,3.5,-120,F
900,Kyrie Irving,rebounds,5.5,104,B-
914,LeBron James,rebounds,7.5,-135,C-
929,Luka Doncic,rebounds,10.0,-117,F
943,Mason Plumlee,rebounds,8.5,-115,F
956,Max Strus,rebounds,4.5,-105,C
969,Mikal Bridges,rebounds,4.5,-150,F
982,Miles Bridges,rebounds,7.5,-145,C
997,Nic Claxton,rebounds,11.5,-136,D
1011,Onyeka Okongwu,rebounds,8.5,-135,F
1025,Spencer Dinwiddie,rebounds,2.5,-145,F
1038,Stephen Curry,rebounds,4.5,-111,C
1053,Terance Mann,rebounds,3.5,123,F
1067,Tobias Harris,rebounds,6.5,-125,F
1081,Trae Young,rebounds,2.5,-145,F
1095,Tyrese Maxey,rebounds,3.5,105,F
1109,Zion Williamson,rebounds,5.5,-150,F
1120,Anthony Davis,assists,3.5,-180,C
1134,Austin Reaves,assists,5.5,-105,D+
1148,Brandin Podziemski,assists,4.5,-130,D+
