,full_name,prop,value,money,grade
0,Aaron Gordon,points,13.5,-115,C+
16,Aaron Holiday,points,4.5,-110,D+
23,Alec Burks,points,5.5,-110,F
33,Amen Thompson,points,12.5,110,F
48,Ayo Dosunmu,points,14.5,-105,C
65,Bogdan Bogdanovic,points,17.5,-125,F
81,Bojan Bogdanovic,points,7.5,108,F
95,Bradley Beal,points,17.5,-120,F
111,Brandon Ingram,points,17.5,-110,F
127,CJ McCollum,points,15.5,-110,D
142,Cam Thomas,points,22.5,-125,D+
156,Christian Braun,points,5.5,-145,D+
169,Clint Capela,points,11.5,-120,F
185,Cole Anthony,points,8.5,-105,F
199,Daniel Gafford,points,11.5,-115,F
215,De'Aaron Fox,points,26.5,-115,F
231,DeMar DeRozan,points,22.5,110,D
247,Dejounte Murray,points,25.5,-115,F
263,Deni Avdija,points,16.5,-115,D
279,Dennis Schroder,points,13.5,-105,F
295,Derrick Jones,points,6.5,-100,F
306,Devin Booker,points,25.5,-115,D
323,Dillon Brooks,points,12.5,-130,F
339,Domantas Sabonis,points,21.5,-110,F
355,Donte DiVincenzo,points,15.5,-105,F
368,Franz Wagner,points,17.5,-120,C-
385,Fred VanVleet,points,17.5,-120,F
401,Gary Harris,points,6.5,-140,F
414,Giannis Antetokounmpo,points,30.5,-110,C-
430,Grayson Allen,points,14.5,-115,C-
447,Harrison Barnes,points,13.5,-125,F
462,Herbert Jones,points,8.5,102,C+
478,Isaiah Hartenstein,points,6.5,-105,D+
494,Jabari Smith,points,15.5,-125,B+
511,Jae'Sean Tate,points,3.5,105,F
517,Jalen Brunson,points,27.5,-110,F
531,Jalen Green,points,24.5,-125,F
546,Jalen Suggs,points,11.5,-125,B-
563,Jamal Murray,points,20.5,-105,F
579,Jeff Green,points,5.5,-120,F
584,Jock Landale,points,7.5,105,C-
594,Joe Ingles,points,2.5,120,D+
600,Jonas Valanciunas,points,7.5,105,C
614,Jonathan Isaac,points,6.5,-115,C+
629,Jordan Poole,points,17.5,-105,F
646,Josh Hart,points,11.5,-120,D+
662,Jusuf Nurkic,points,10.5,-105,C+
679,Keegan Murray,points,13.5,105,F
694,Kentavious Caldwell-Pope,points,9.5,-130,C+
711,Keon Ellis,points,6.5,-125,F
725,Kevin Durant,points,24.5,-110,F
740,Kyle Kuzma,points,22.5,-120,C+
757,Kyrie Irving,points,25.5,-120,F
772,Larry Nance,points,6.5,-125,A-
786,Lauri Markkanen,points,22.0,-105,C+
799,Luka Doncic,points,34.5,-125,F
815,Malik Monk,points,17.5,-125,F
829,Markelle Fultz,points,5.5,-105,F
834,Michael Porter,points,17.5,-125,C
851,Mikal Bridges,points,17.5,-120,F
866,Moritz Wagner,points,7.5,-130,D+
879,Naji Marshall,points,5.5,-125,F
885,Nic Claxton,points,10.5,-105,F
898,Nikola Jokic,points,25.5,-110,C-
