Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Auston Matthews (32165441),Auston Matthews,32165441,C/UTIL,10200,TOR@ANH 01/03/2024 09:00PM ET,TOR,20.58
C,Jack Hughes (32165443),Jack Hughes,32165443,C/UTIL,9400,NJ@WAS 01/03/2024 07:30PM ET,NJ,18.79
RW,William Nylander (32165485),William Nylander,32165485,W/UTIL,8500,TOR@ANH 01/03/2024 09:00PM ET,TOR,17.43
G,Martin Jones (32165645),Martin Jones,32165645,G,8100,TOR@ANH 01/03/2024 09:00PM ET,TOR,15.13
G,Dennis Hildeby (32165647),Dennis Hildeby,32165647,G,7900,TOR@ANH 01/03/2024 09:00PM ET,TOR,0
G,Joseph Woll (32165648),Joseph Woll,32165648,G,7900,TOR@ANH 01/03/2024 09:00PM ET,TOR,15.38
G,Matt Murray (32165649),Matt Murray,32165649,G,7900,TOR@ANH 01/03/2024 09:00PM ET,TOR,0
G,Vitek Vanecek (32165646),Vitek Vanecek,32165646,G,7900,NJ@WAS 01/03/2024 07:30PM ET,NJ,9.14
G,Nico Daws (32165650),Nico Daws,32165650,G,7700,NJ@WAS 01/03/2024 07:30PM ET,NJ,16.5
G,Darcy Kuemper (32165651),Darcy Kuemper,32165651,G,7500,NJ@WAS 01/03/2024 07:30PM ET,WAS,10.85
G,John Gibson (32165654),John Gibson,32165654,G,7300,TOR@ANH 01/03/2024 09:00PM ET,ANH,10.27
G,Lukas Dostal (32165655),Lukas Dostal,32165655,G,7300,TOR@ANH 01/03/2024 09:00PM ET,ANH,10.55
G,Hunter Shepard (32165652),Hunter Shepard,32165652,G,7300,NJ@WAS 01/03/2024 07:30PM ET,WAS,18.03
G,Charlie Lindgren (32165653),Charlie Lindgren,32165653,G,7300,NJ@WAS 01/03/2024 07:30PM ET,WAS,15.99
C,John Tavares (32165445),John Tavares,32165445,C/UTIL,7100,TOR@ANH 01/03/2024 09:00PM ET,TOR,12.94
RW,Mitchell Marner (32165487),Mitchell Marner,32165487,W/UTIL,6900,TOR@ANH 01/03/2024 09:00PM ET,TOR,12.23
RW,Jesper Bratt (32165489),Jesper Bratt,32165489,W/UTIL,6700,NJ@WAS 01/03/2024 07:30PM ET,NJ,12.89
RW,Frank Vatrano (32165491),Frank Vatrano,32165491,W/UTIL,6500,TOR@ANH 01/03/2024 09:00PM ET,ANH,13.27
G,Ilya Samsonov (32165657),Ilya Samsonov,32165657,G,6500,TOR@ANH 01/03/2024 09:00PM ET,TOR,6.3
G,Akira Schmid (32165656),Akira Schmid,32165656,G,6500,NJ@WAS 01/03/2024 07:30PM ET,NJ,9.59
LW,Alex Ovechkin (32165493),Alex Ovechkin,32165493,W/UTIL,6400,NJ@WAS 01/03/2024 07:30PM ET,WAS,10.58
D,Morgan Rielly (32165571),Morgan Rielly,32165571,D/UTIL,6000,TOR@ANH 01/03/2024 09:00PM ET,TOR,12.11
D,John Carlson (32165573),John Carlson,32165573,D/UTIL,5900,NJ@WAS 01/03/2024 07:30PM ET,WAS,10.79
D,Dougie Hamilton (32165575),Dougie Hamilton,32165575,D/UTIL,5800,NJ@WAS 01/03/2024 07:30PM ET,NJ,11.61
LW,Tyler Toffoli (32165495),Tyler Toffoli,32165495,W/UTIL,5700,NJ@WAS 01/03/2024 07:30PM ET,NJ,10.8
LW,Max Pacioretty (32165497),Max Pacioretty,32165497,W/UTIL,5500,NJ@WAS 01/03/2024 07:30PM ET,WAS,0
C,Mason McTavish (32165447),Mason McTavish,32165447,C/UTIL,5400,TOR@ANH 01/03/2024 09:00PM ET,ANH,10.53
RW,Tom Wilson (32165499),Tom Wilson,32165499,W/UTIL,5300,NJ@WAS 01/03/2024 07:30PM ET,WAS,9.96
C,Nico Hischier (32165449),Nico Hischier,32165449,C/UTIL,5200,NJ@WAS 01/03/2024 07:30PM ET,NJ,8.66
LW,Timo Meier (32165501),Timo Meier,32165501,W/UTIL,5100,NJ@WAS 01/03/2024 07:30PM ET,NJ,9.4
C,Leo Carlsson (32165451),Leo Carlsson,32165451,C/UTIL,5000,TOR@ANH 01/03/2024 09:00PM ET,ANH,8.7
RW,Troy Terry (32165503),Troy Terry,32165503,W/UTIL,4900,TOR@ANH 01/03/2024 09:00PM ET,ANH,8.81
C,Dylan Strome (32165453),Dylan Strome,32165453,C/UTIL,4800,NJ@WAS 01/03/2024 07:30PM ET,WAS,8.78
D,Jamie Drysdale (32165577),Jamie Drysdale,32165577,D/UTIL,4400,TOR@ANH 01/03/2024 09:00PM ET,ANH,8.89
LW,Alex Killorn (32165505),Alex Killorn,32165505,W/UTIL,4300,TOR@ANH 01/03/2024 09:00PM ET,ANH,7.92
D,Cam Fowler (32165579),Cam Fowler,32165579,D/UTIL,4200,TOR@ANH 01/03/2024 09:00PM ET,ANH,7.56
C,Trevor Zegras (32165455),Trevor Zegras,32165455,C/UTIL,4100,TOR@ANH 01/03/2024 09:00PM ET,ANH,7.29
D,Radko Gudas (32165581),Radko Gudas,32165581,D/UTIL,4000,TOR@ANH 01/03/2024 09:00PM ET,ANH,7.67
LW,Erik Haula (32165507),Erik Haula,32165507,W/UTIL,4000,NJ@WAS 01/03/2024 07:30PM ET,NJ,7.4
C,Adam Henrique (32165457),Adam Henrique,32165457,C/UTIL,3900,TOR@ANH 01/03/2024 09:00PM ET,ANH,8.08
D,Timothy Liljegren (32165583),Timothy Liljegren,32165583,D/UTIL,3900,TOR@ANH 01/03/2024 09:00PM ET,TOR,7.87
RW,Dawson Mercer (32165509),Dawson Mercer,32165509,W/UTIL,3900,NJ@WAS 01/03/2024 07:30PM ET,NJ,7.29
D,Mark Giordano (32165585),Mark Giordano,32165585,D/UTIL,3800,TOR@ANH 01/03/2024 09:00PM ET,TOR,7.57
RW,Anthony Mantha (32165511),Anthony Mantha,32165511,W/UTIL,3700,NJ@WAS 01/03/2024 07:30PM ET,WAS,7.4
D,Luke Hughes (32165587),Luke Hughes,32165587,D/UTIL,3700,NJ@WAS 01/03/2024 07:30PM ET,NJ,7.19
