player,pos,adj_rank
Nikola Jokić,C,1
Luka Dončić,PG,2
Giannis Antetokounmpo,PF,4
Jayson Tatum,SF,4
Joel Embiid,C,4
Domantas Sabonis,C,6
Anthony Edwards,SG,7.5
Ja Morant,PG,7.5
Julius Randle,PF,9.5
Shai Gilgeous-Alexander,PG,9.5
Anthony Davis,C,11
Donovan Mitchell,SG,12
Trae Young,PG,13
Nikola Vučević,C,14
Jaylen Brown,SF,15
Stephen Curry,PG,16
Josh Giddey,PF,17
Bam Adebayo,C,18
Evan Mobley,PF,19.5
LeBron James,PF,19.5
Damian Lillard,PG,21.5
Kristaps Porziņģis,C,21.5
De'Aaron Fox,PG,23
Tyrese Haliburton,PG,24
Lauri Markkanen,PF,25
James Harden,PG,26
Darius Garland,PG,27
Nic Claxton,C,28
Jaren Jackson Jr.,C,29
Pascal Siakam,PF,30.5
Zach LaVine,SG,30.5
Paolo Banchero,PF,32
Dejounte Murray,SG,33
Alperen Şengün,C,34
Paul George,SF,35
Deandre Ayton,C,37
Jimmy Butler,PF,37
Tyler Herro,SG,37
Devin Booker,SG,39
Zion Williamson,PF,40
Jarrett Allen,C,41
Jrue Holiday,PG,42
Desmond Bane,SG,43
LaMelo Ball,PG,44
Kawhi Leonard,SF,45
Brandon Ingram,SF,46.5
Kyle Kuzma,PF,46.5
Rudy Gobert,C,48
Christian Wood,C,49.5
Jonas Valančiūnas,C,49.5
DeMar DeRozan,SF,51
Jordan Poole,PG,52
Fred VanVleet,PG,53.5
Jalen Brunson,PG,53.5
Jamal Murray,PG,55
Kevin Porter Jr.,PG,56
Franz Wagner,SF,57
Scottie Barnes,SF,58
Bobby Portis,PF,59.5
CJ McCollum,SG,59.5
Myles Turner,C,61
Jalen Green,SG,62.5
Wendell Carter Jr.,C,62.5
Draymond Green,PF,64.5
Jalen Williams,SG,64.5
Bradley Beal,SG,66
Walker Kessler,C,67
OG Anunoby,SF,68
Immanuel Quickley,SG,69
Buddy Hield,SF,70.5
Naz Reid,C,70.5
Ivica Zubac,C,72
Clint Capela,C,73
Markelle Fultz,PG,74
Keldon Johnson,SF,75
Karl-Anthony Towns,PF,76
Michael Porter Jr.,SF,77
Aaron Gordon,PF,78.5
Jaden Ivey,SG,78.5
RJ Barrett,SG,81
Terry Rozier,SG,81
Tyrese Maxey,SG,81
Jusuf Nurkić,C,83
Malcolm Brogdon,PG,84
Malik Monk,SG,85
Onyeka Okongwu,C,86
